<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20180321,000000,1.2269000,1.2287000,1.2267100,1.2269900,5953000
20180322,000000,1.2350900,1.2376400,1.2314000,1.2314000,10201000
20180323,000000,1.2345000,1.2345000,1.2316400,1.2340900,12574000
20180326,000000,1.2359700,1.2413400,1.2359700,1.2412100,13081000
20180327,000000,1.2467000,1.2469900,1.2393900,1.2397000,4501000
20180328,000000,1.2393900,1.2403900,1.2375000,1.2393900,15568000
20180329,000000,1.2302000,1.2327000,1.2293600,1.2315000,24142000
20180403,000000,1.2320000,1.2332900,1.2287000,1.2300500,13568000
20180404,000000,1.2265000,1.2307500,1.2255600,1.2286400,19858000
20180405,000000,1.2258500,1.2277500,1.2250000,1.2258000,9224000
20180406,000000,1.2228000,1.2241900,1.2219400,1.2236600,17423000
20180409,000000,1.2275100,1.2282100,1.2261600,1.2280000,15710000
20180410,000000,1.2316400,1.2370000,1.2307100,1.2370000,31942000
20180411,000000,1.2373300,1.2385400,1.2361100,1.2377000,29393000
20180412,000000,1.2358100,1.2368900,1.2318500,1.2318500,20443000
20180413,000000,1.2318700,1.2342000,1.2306000,1.2310000,10676000
20180416,000000,1.2326400,1.2370500,1.2326000,1.2370000,8002000
20180417,000000,1.2400800,1.2409600,1.2364000,1.2372000,8769000
20180418,000000,1.2361400,1.2384500,1.2345000,1.2384500,13884000
20180419,000000,1.2379400,1.2397000,1.2353100,1.2377000,16553000
20180420,000000,1.2341400,1.2347400,1.2297500,1.2297500,23067000
20180423,000000,1.2282400,1.2287000,1.2225000,1.2232600,16492000
20180424,000000,1.2206000,1.2218500,1.2183000,1.2213400,8632000
20180425,000000,1.2208900,1.2212900,1.2174400,1.2175500,12607000
20180426,000000,1.2176000,1.2184900,1.2155000,1.2170000,8167000
20180427,000000,1.2084000,1.2092400,1.2064400,1.2068000,14367000
20180503,000000,1.1976400,1.2014900,1.1967000,1.1986000,11923000
20180504,000000,1.1962200,1.1992900,1.1954700,1.1974000,34972000
20180507,000000,1.1937100,1.2173500,1.1902000,1.1902000,24484000
20180508,000000,1.1924400,1.1925900,1.1863100,1.1870000,32323000
20180510,000000,1.1865500,1.1889400,1.1852000,1.1882500,15310000
20180511,000000,1.1893700,1.1942000,1.1891200,1.1932400,7217000
20180514,000000,1.1952000,1.1988900,1.1950000,1.1984900,6888000
20180515,000000,1.1932000,1.1936900,1.1876500,1.1878600,7485000
20180516,000000,1.1835000,1.1852400,1.1777900,1.1778000,15346000
20180517,000000,1.1803900,1.1825000,1.1778100,1.1786400,11682000
20180518,000000,1.1815000,1.1815900,1.1776000,1.1787500,4064000
20180521,000000,1.1725000,1.1759900,1.1709800,1.1758000,22701000
20180522,000000,1.1757400,1.1828900,1.1757400,1.1804100,2313000
20180523,000000,1.1751400,1.1753800,1.1698500,1.1700000,8161000
20180524,000000,1.1712500,1.1743500,1.1707600,1.1709100,11124000
20180525,000000,1.1700000,1.1723200,1.1670000,1.1670000,13020000
20180529,000000,1.1592800,1.1596400,1.1520000,1.1550000,16097000
20180530,000000,1.1525100,1.1639900,1.1525000,1.1634900,10141000
